id,lat,long,village,bed_hygiene,bird_nests_inside,chicken_coop_location,bedroom_clutter,dark_main_room,floor_type,construction_pile_type,firewood_location,grain_storage_in_house,house_age,house_hygiene,kitchen_location,land_for_agriculture,num_humans,num_chickens,num_dogs,num_pigs,sign_animals,sign_rats,condition_bedroom_wall,condition_house_wall,material_house_wall,material_roof,windows_in_bedroom,dist_perim,density,infestation,truth
132_Amatillo,1123.9569777149616,178.64425489387904,Amatillo,buena,no,no,si_acumula,si,ladrillo,ninguno,adentro_casa,no,2_to_6,mala,adentro_casa,owned,4,1,0,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,176.206656752796,12,0,0
133_Amatillo,1123.9453718514706,178.67245886123675,Amatillo,buena,si,afuera_casa,si_acumula,si,ladrillo,ninguno,adentro_casa,no,7_or_more,buena,afuera_casa,owned,4,6,0,0,TRUE,TRUE,buen_estado,buen_estado,bajareque,alum_cement,FALSE,133.5759695252258,12,0,0
134_Amatillo,1123.984393510471,178.70261235706985,Amatillo,mala,no,afuera_casa,si_acumula,no,tierra,ninguno,ninguno,no,7_or_more,mala,adentro_casa,owned,7,14,1,0,FALSE,TRUE,buen_estado,buen_estado,bajareque,vegetal_clay,TRUE,108.15148327213409,9,1,1
137_Amatillo,1123.954747435159,178.7504609357616,Amatillo,buena,no,afuera_casa,no_acumula,no,tierra,ninguno,afuera_casa,si,2_to_6,buena,afuera_casa,owned,8,15,3,0,FALSE,FALSE,buen_estado,buen_estado,bajareque,alum_cement,FALSE,49.983151482276085,2,0,0
138_Amatillo,1123.9446483236607,178.74490047466284,Amatillo,buena,no,afuera_casa,si_acumula,no,tierra,ninguno,afuera_casa,si,7_or_more,buena,afuera_casa,no,7,29,2,0,FALSE,FALSE,buen_estado,buen_estado,bajareque,alum_cement,FALSE,49.98262855141499,2,0,0
139_Amatillo,1123.909895175258,178.66040670223475,Amatillo,buena,no,afuera_casa,si_acumula,si,tierra,wood_ceram_metal,ninguno,no,7_or_more,buena,shared_none,rented,5,12,0,1,FALSE,TRUE,deterioradas,deterioradas,bajareque,vegetal_clay,FALSE,115.75760287829316,8,0,0
140_Amatillo,1123.9073772949737,178.65951881864106,Amatillo,buena,no,afuera_casa,si_acumula,no,tierra,wood_ceram_metal,ninguno,si,7_or_more,buena,afuera_casa,rented,4,30,3,3,FALSE,TRUE,deterioradas,deterioradas,bajareque,vegetal_clay,FALSE,114.53019771287371,8,1,1
140B_Amatillo,1123.9034199979214,178.66305102301146,Amatillo,buena,no,no,no_acumula,no,tierra,ninguno,ninguno,si,2_to_6,buena,shared_none,no,1,0,0,0,FALSE,FALSE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,106.95991196444412,8,0,0
141_Amatillo,1123.9025370516931,178.63173711835154,Amatillo,buena,no,afuera_casa,si_acumula,no,ladrillo,ninguno,ninguno,si,7_or_more,buena,afuera_casa,owned,9,24,2,1,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,TRUE,142.02122754675747,10,0,0
142_Amatillo,1123.8607767600595,178.60111828987633,Amatillo,mala,no,no,no_acumula,no,tierra,ninguno,adentro_casa,si,2_to_6,mala,adentro_casa,owned,2,0,0,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,139.85823297958513,4,0,0
